A1 A2 A3 A4 A5 A6 A7 A8 A9 A10 A11 A12 A14 A15 A16 A17 A18 A19 A20 A21 A22 A23 A24 
B1 B2 B3 B4 B5 B6 B7 B8 B9 B10 B11 B12 B14 B15 B16 B17 B18 B19 B20 B21 B22 B23 B24 
C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C14 C15 C16 C17 C18 C19 C20 C21 C22 C23 C24 
D1 D2 D3 D4 D5 D6 D7 D8 D9 D10 D11 D12 D14 D15 D16 D17 D18 D19 D20 D21 D22 D23 D24 
E1 E2 E3 E4 E5 E6 E7 E8 E9 E10 E11 E12 E14 E15 E16 E17 E18 E19 E20 E21 E22 E23 E24 
F1 F2 F3 F4 F5 F6 F7 F8 F9 F10 F11 F12 F14 F15 F16 F17 F18 F19 F20 F21 F22 F23 F24 
G1 G2 G3 G4 G5 G6 G7 G8 G9 G10 G11 G12 G14 G15 G16 G17 G18 G19 G20 G21 G22 G23 G24 
H1 H2 H3 H4 H5 H6 H7 H8 H9 H10 H11 H12 H14 H15 H16 H17 H18 H19 H20 H21 H22 H23 H24 
J1 J2 J3 J4 J5 J6 J7 J8 J9 J10 J11 J12 J14 J15 J16 J17 J18 J19 J20 J21 J22 J23 J24 
K1 K2 K3 K4 K5 K6 K7 K8 K9 K10 K11 K12 K14 K15 K16 K17 K18 K19 K20 K21 K22 K23 K24 
L1 L2 L3 L4 L5 L6 L7 L8 L9 L10 L11 L12 L14 L15 L16 L17 L18 L19 L20 L21 L22 L23 L24 
M1 M2 M3 M4 M5 M6 M7 M8 M9 M10 M11 M12 M14 M15 M16 M17 M18 M19 M20 M21 M22 M23 M24 
N1 N2 N3 N4 N5 N6 N7 N8 N9 N10 N11 N12 N14 N15 N16 N17 N18 N19 N20 N21 N22 N23 N24 
P1 P2 P3 P4 P5 P6 P7 P8 P9 P10 P11 P12 P14 P15 P16 P17 P18 P19 P20 P21 P22 P23 P24 
Q1 Q2 Q3 Q4 Q5 Q6 Q7 Q8 Q9 Q10 Q11 Q12 Q14 Q15 Q16 Q17 Q18 Q19 Q20 Q21 Q22 Q23 Q24 
R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 R12 R14 R15 R16 R17 R18 R19 R20 R21 R22 R23 R24 
S1 S2 S3 S4 S5 S6 S7 S8 S9 S10 S11 S12 S14 S15 S16 S17 S18 S19 S20 S21 S22 S23 S24 
T1 T2 T3 T4 T5 T6 T7 T8 T9 T10 T11 T12 T14 T15 T16 T17 T18 T19 T20 T21 T22 T23 T24 
U1 U2 U3 U4 U5 U6 U7 U8 U9 U10 U11 U12 U14 U15 U16 U17 U18 U19 U20 U21 U22 U23 U24 
V1 V2 V3 V4 V5 V6 V7 V8 V9 V10 V11 V12 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24 
W1 W2 W3 W4 W5 W6 W7 W8 W9 W10 W11 W12 W14 W15 W16 W17 W18 W19 W20 W21 W22 W23 W24 
X1 X2 X3 X4 X5 X6 X7 X8 X9 X10 X11 X12 X14 X15 X16 X17 X18 X19 X20 X21 X22 X23 X24 
Y1 Y2 Y3 Y4 Y5 Y6 Y7 Y8 Y9 Y10 Y11 Y12 Y14 Y15 Y16 Y17 Y18 Y19 Y20 Y21 Y22 Y23 Y24 
Z1 Z2 Z3 Z4 Z5 Z6 Z7 Z8 Z9 Z10 Z11 Z12 Z14 Z15 Z16 Z17 Z18 Z19 Z20 Z21 Z22 Z23 Z24 
a1 a2 a3 a4 a5 a6 a7 a8 a9 a10 a11 a12 a14 a15 a16 a17 a18 a19 a20 a21 a22 a23 a24 
b1 b2 b3 b4 b5 b6 b7 b8 b9 b10 b11 b12 b14 b15 b16 b17 b18 b19 b20 b21 b22 b23 b24 
c1 c2 c3 c4 c5 c6 c7 c8 c9 c10 c11 c12 c14 c15 c16 c17 c18 c19 c20 c21 c22 c23 c24 
d1 d2 d3 d4 d5 d6 d7 d8 d9 d10 d11 d12 d14 d15 d16 d17 d18 d19 d20 d21 d22 d23 d24 
e1 e2 e3 e4 e5 e6 e7 e8 e9 e10 e11 e12 e14 e15 e16 e17 e18 e19 e20 e21 e22 e23 e24 
f1 f2 f3 f4 f5 f6 f7 f8 f9 f10 f11 f12 f14 f15 f16 f17 f18 f19 f20 f21 f22 f23 f24 
g1 g2 g3 g4 g5 g6 g7 g8 g9 g10 g11 g12 g14 g15 g16 g17 g18 g19 g20 g21 g22 g23 g24 
h1 h2 h3 h4 h5 h6 h7 h8 h9 h10 h11 h12 h14 h15 h16 h17 h18 h19 h20 h21 h22 h23 h24 
j1 j2 j3 j4 j5 j6 j7 j8 j9 j10 j11 j12 j14 j15 j16 j17 j18 j19 j20 j21 j22 j23 j24 
k1 k2 k3 k4 k5 k6 k7 k8 k9 k10 k11 k12 k14 k15 k16 k17 k18 k19 k20 k21 k22 k23 k24 
m1 m2 m3 m4 m5 m6 m7 m8 m9 m10 m11 m12 m14 m15 m16 m17 m18 m19 m20 m21 m22 m23 m24 
n1 n2 n3 n4 n5 n6 n7 n8 n9 n10 n11 n12 n14 n15 n16 n17 n18 n19 n20 n21 n22 n23 n24 
p1 p2 p3 p4 p5 p6 p7 p8 p9 p10 p11 p12 p14 p15 p16 p17 p18 p19 p20 p21 p22 p23 p24 
q1 q2 q3 q4 q5 q6 q7 q8 q9 q10 q11 q12 q14 q15 q16 q17 q18 q19 q20 q21 q22 q23 q24 
r1 r2 r3 r4 r5 r6 r7 r8 r9 r10 r11 r12 r14 r15 r16 r17 r18 r19 r20 r21 r22 r23 r24 
s1 s2 s3 s4 s5 s6 s7 s8 s9 s10 s11 s12 s14 s15 s16 s17 s18 s19 s20 s21 s22 s23 s24 
t1 t2 t3 t4 t5 t6 t7 t8 t9 t10 t11 t12 t14 t15 t16 t17 t18 t19 t20 t21 t22 t23 t24 
u1 u2 u3 u4 u5 u6 u7 u8 u9 u10 u11 u12 u14 u15 u16 u17 u18 u19 u20 u21 u22 u23 u24 
v1 v2 v3 v4 v5 v6 v7 v8 v9 v10 v11 v12 v14 v15 v16 v17 v18 v19 v20 v21 v22 v23 v24 
w1 w2 w3 w4 w5 w6 w7 w8 w9 w10 w11 w12 w14 w15 w16 w17 w18 w19 w20 w21 w22 w23 w24 
x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x14 x15 x16 x17 x18 x19 x20 x21 x22 x23 x24 
y1 y2 y3 y4 y5 y6 y7 y8 y9 y10 y11 y12 y14 y15 y16 y17 y18 y19 y20 y21 y22 y23 y24 
z1 z2 z3 z4 z5 z6 z7 z8 z9 z10 z11 z12 z14 z15 z16 z17 z18 z19 z20 z21 z22 z23 z24 
